Date,Town,Super (PMS),Diesel (AGO),Kerosene (IK)
16/04/2026,Nairobi,197.6,196.63,152.78
15/04/2026,Nairobi,206.97,206.84,152.78
15/03/2026,Nairobi,178.28,166.54,152.78
15/02/2026,Nairobi,178.28,166.54,152.78
15/01/2026,Nairobi,182.52,170.47,153.78
15/12/2025,Nairobi,184.52,171.47,154.78
15/11/2025,Nairobi,184.52,171.47,154.78
15/10/2025,Nairobi,184.52,171.47,154.78
15/09/2025,Nairobi,184.52,171.47,154.78
15/08/2025,Nairobi,185.31,171.58,155.58
15/07/2025,Nairobi,186.31,171.58,156.58
15/06/2025,Nairobi,177.32,162.91,146.93
15/05/2025,Nairobi,174.63,164.86,148.99
15/04/2025,Nairobi,174.63,164.86,148.99
15/03/2025,Nairobi,176.58,167.06,151.39
15/02/2025,Nairobi,176.58,167.06,151.39
15/01/2025,Nairobi,176.58,167.06,151.39
15/12/2024,Nairobi,176.29,165.06,148.39
15/11/2024,Nairobi,180.66,168.06,151.39
15/10/2024,Nairobi,180.66,168.06,151.39
15/09/2024,Nairobi,188.84,171.6,158.32
15/08/2024,Nairobi,188.84,171.6,161.75
15/07/2024,Nairobi,188.84,171.6,161.75
15/06/2024,Nairobi,189.84,173.1,163.05
15/05/2024,Nairobi,192.84,179.18,168.76
15/04/2024,Nairobi,193.84,180.38,170.06
15/03/2024,Nairobi,199.15,190.38,188.74
15/02/2024,Nairobi,206.36,195.47,193.23
15/01/2024,Nairobi,207.36,196.47,194.23
15/12/2023,Nairobi,196.5,186.5,172.5
15/11/2023,Nairobi,201.5,191.5,182.5
15/10/2023,Nairobi,206.5,196,192
15/09/2023,Nairobi,211.64,200.99,202.61
15/08/2023,Nairobi,197.5,182,172
15/07/2023,Nairobi,194.68,179.67,169.48
15/06/2023,Nairobi,185,170.5,162.5
15/05/2023,Nairobi,182.7,168.4,161.13
15/04/2023,Nairobi,179.3,162,145.94
15/03/2023,Nairobi,179.3,162,145.94
15/02/2023,Nairobi,179.3,162,145.94
15/01/2023,Nairobi,179.3,162,145.94
15/12/2022,Nairobi,177.3,162,145.94
15/11/2022,Nairobi,177.3,162,145.94
15/10/2022,Nairobi,178.3,163,146.94
15/09/2022,Nairobi,179.3,165,147.94
15/08/2022,Nairobi,159.12,140,127.94
15/07/2022,Nairobi,159.12,140,127.94
15/06/2022,Nairobi,159.12,140,127.94
15/05/2022,Nairobi,150.12,131,118.94
15/04/2022,Nairobi,144.62,125.5,113.44
15/03/2022,Nairobi,134.72,115.6,103.54
15/02/2022,Nairobi,129.72,110.6,103.54
15/01/2022,Nairobi,129.72,110.6,103.54
15/12/2021,Nairobi,142,130.54,120
15/11/2021,Nairobi,140,128,118
15/10/2021,Nairobi,137.5,125.5,115.5
15/09/2021,Nairobi,135,123,113
15/08/2021,Nairobi,132.5,120.5,110.5
15/07/2021,Nairobi,130,118,108
15/06/2021,Nairobi,128.5,115.5,105.5
15/05/2021,Nairobi,125,112,102
15/04/2021,Nairobi,122,108,99
15/03/2021,Nairobi,119.5,105.5,96.5
15/02/2021,Nairobi,116.03,102.84,93.37
15/01/2021,Nairobi,107.86,97.33,88.07
15/12/2020,Nairobi,106.82,81.63,83.56
15/11/2020,Nairobi,105.85,83.15,83.73
15/10/2020,Nairobi,107.27,65.45,83.65
15/09/2020,Nairobi,105.43,79.77,62.46
15/08/2020,Nairobi,103.95,95.46,77.28
15/07/2020,Nairobi,100.48,103.95,102.69
15/06/2020,Nairobi,89.1,90.7,91.82
15/05/2020,Nairobi,83.33,94.51,92.91
15/04/2020,Nairobi,92.87,91.87,94.63
15/03/2020,Nairobi,110.87,78.37,74.57
15/02/2020,Nairobi,112.87,101.65,97.56
15/01/2020,Nairobi,110.2,102.32,104.45
15/12/2019,Nairobi,109.5,101.78,102.31
15/11/2019,Nairobi,110.59,104.61,104.06
15/10/2019,Nairobi,108.05,101.96,101.08
15/09/2019,Nairobi,112.81,103.04,100.64
15/08/2019,Nairobi,112.53,100.6,103.95
15/07/2019,Nairobi,115.39,103.88,101.97
15/06/2019,Nairobi,115.05,104.72,104.26
15/05/2019,Nairobi,112.03,104.37,104.62
15/04/2019,Nairobi,106.6,102.13,102.22
15/03/2019,Nairobi,101.35,96.61,99.46
15/02/2019,Nairobi,100.09,95.96,96.5
15/01/2019,Nairobi,104.21,102.24,101.7
15/12/2018,Nairobi,113.54,112.28,105.22
15/11/2018,Nairobi,116.79,108.12,108.41
15/10/2018,Nairobi,115.73,109.72,108.84
15/09/2018,Nairobi,116.79,108.12,108.41
15/08/2018,Nairobi,113.73,102.74,84.95
15/07/2018,Nairobi,112.2,103.25,85.73
15/06/2018,Nairobi,108.81,103.6,84.1
15/05/2018,Nairobi,107.17,98.64,78.22
15/04/2018,Nairobi,106.83,97.86,76.72
15/03/2018,Nairobi,107.46,97.86,77.45
15/02/2018,Nairobi,107.92,96.96,76.75
15/01/2018,Nairobi,106.3,94.82,74.78
15/12/2017,Nairobi,122.7,111.9,102.3
15/11/2017,Nairobi,121.4,110.5,100.8
15/10/2017,Nairobi,120.1,109.8,99.4
15/09/2017,Nairobi,119.3,108.7,98.5
15/08/2017,Nairobi,118.5,107.4,97.1
15/07/2017,Nairobi,117.8,106.9,96.2
15/06/2017,Nairobi,116.4,105.6,94.8
15/05/2017,Nairobi,115.7,104.3,92.5
15/04/2017,Nairobi,114.2,102.8,90.1
15/03/2017,Nairobi,113.5,101.2,88.7
15/02/2017,Nairobi,112.8,100.1,87.4
15/01/2017,Nairobi,110.5,98.5,85.2
15/12/2016,Nairobi,110.3,97.9,91.2
15/11/2016,Nairobi,109.1,96.7,89.8
15/10/2016,Nairobi,108.2,95.3,88.4
15/09/2016,Nairobi,107.5,94.1,87.3
15/08/2016,Nairobi,106.8,93.4,86.2
15/07/2016,Nairobi,105.9,92.8,85.6
15/06/2016,Nairobi,104.7,91.5,84.7
15/05/2016,Nairobi,103.4,90.8,83.9
15/04/2016,Nairobi,102.1,89.3,82.6
15/03/2016,Nairobi,101.2,88.7,81.4
15/02/2016,Nairobi,99.8,87.5,80.1
15/01/2016,Nairobi,98.5,86.2,78.9
15/12/2015,Nairobi,108.7,99.5,91
15/11/2015,Nairobi,107.9,98.9,90.2
15/10/2015,Nairobi,93.29,82.43,56.04
15/09/2015,Nairobi,102.65,79.99,52.55
15/08/2015,Nairobi,102.65,83.35,57.68
15/07/2015,Nairobi,98.59,84.56,62.74
15/06/2015,Nairobi,97.28,83.31,61.78
15/05/2015,Nairobi,92.89,79.34,59.24
15/04/2015,Nairobi,89.35,77.48,57.21
15/03/2015,Nairobi,89.46,76.2,55.75
15/02/2015,Nairobi,98.3,89.1,80.2
15/01/2015,Nairobi,97.5,88.2,79.1
15/12/2014,Nairobi,123,113.2,104.1
15/11/2014,Nairobi,122.1,112.4,103.3
15/10/2014,Nairobi,121.3,111.5,102.4
15/09/2014,Nairobi,120.5,110.7,101.6
15/08/2014,Nairobi,119.1,109.3,100.2
15/07/2014,Nairobi,118.2,108.4,99.1
15/06/2014,Nairobi,117.4,107.6,98.3
15/05/2014,Nairobi,116.7,106.9,97.5
15/04/2014,Nairobi,114.16,103.82,83.16
15/03/2014,Nairobi,113.61,104.87,83.91
